Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,Loss
self_mm,"(63.02, 3.07)","(40.92, 7.09)","(22.67, 3.89)","(63.41, 2.28)","(56.94, 1.19)","(23.76, 4.31)","(56.85, 1.06)"
self_mm,"(63.02, 3.07)","(40.92, 7.09)","(22.67, 3.89)","(63.41, 2.28)","(56.94, 1.19)","(23.76, 4.31)","(56.85, 1.06)"
