Epoch,Phase,Num Correct,Num Sample,Accuracy
51,valid,163,229,0.7117903930131004
51,overall,,,0.777292576419214
52,train,1221,1284,0.9509345794392523
52,valid,164,229,0.7161572052401747
52,overall,,,0.777292576419214
53,train,1232,1284,0.9595015576323987
53,valid,162,229,0.7074235807860262
53,overall,,,0.777292576419214
54,train,1232,1284,0.9595015576323987
54,valid,162,229,0.7074235807860262
54,overall,,,0.777292576419214
55,train,1204,1284,0.9376947040498442
55,valid,156,229,0.6812227074235808
55,overall,,,0.777292576419214
56,train,1210,1284,0.942367601246106
56,valid,156,229,0.6812227074235808
56,overall,,,0.777292576419214
57,train,1210,1284,0.942367601246106
57,valid,152,229,0.6637554585152838
57,overall,,,0.777292576419214
58,train,1221,1284,0.9509345794392523
58,valid,157,229,0.6855895196506551
58,overall,,,0.777292576419214
59,train,1231,1284,0.9587227414330218
59,valid,156,229,0.6812227074235808
59,overall,,,0.777292576419214
60,train,1238,1284,0.9641744548286605
60,valid,168,229,0.7336244541484717
60,overall,,,0.777292576419214
61,train,1224,1284,0.9532710280373832
61,valid,159,229,0.6943231441048034
61,overall,,,0.777292576419214
62,train,1226,1284,0.9548286604361371
62,valid,159,229,0.6943231441048034
62,overall,,,0.777292576419214
63,train,1236,1284,0.9626168224299065
63,valid,156,229,0.6812227074235808
63,overall,,,0.777292576419214
64,train,1230,1284,0.9579439252336449
64,valid,151,229,0.6593886462882096
64,overall,,,0.777292576419214
65,train,1218,1284,0.9485981308411215
65,valid,157,229,0.6855895196506551
65,overall,,,0.777292576419214
66,train,1235,1284,0.9618380062305296
66,valid,161,229,0.7030567685589519
66,overall,,,0.777292576419214
67,train,1224,1284,0.9532710280373832
67,valid,152,229,0.6637554585152838
67,overall,,,0.777292576419214
68,train,1221,1284,0.9509345794392523
68,valid,157,229,0.6855895196506551
68,overall,,,0.777292576419214
69,train,1236,1284,0.9626168224299065
69,valid,149,229,0.6506550218340611
69,overall,,,0.777292576419214
70,train,1231,1284,0.9587227414330218
70,valid,150,229,0.6550218340611353
70,overall,,,0.777292576419214
71,train,1217,1284,0.9478193146417445
71,valid,156,229,0.6812227074235808
71,overall,,,0.777292576419214
72,train,1226,1284,0.9548286604361371
72,valid,157,229,0.6855895196506551
72,overall,,,0.777292576419214
73,train,1245,1284,0.969626168224299
73,valid,156,229,0.6812227074235808
73,overall,,,0.777292576419214
74,train,1248,1284,0.9719626168224299
74,valid,164,229,0.7161572052401747
74,overall,,,0.777292576419214
75,train,1244,1284,0.9688473520249221
75,valid,158,229,0.6899563318777293
75,overall,,,0.777292576419214
76,train,1253,1284,0.9758566978193146
76,valid,144,229,0.62882096069869
76,overall,,,0.777292576419214
77,train,1219,1284,0.9493769470404985
77,valid,159,229,0.6943231441048034
77,overall,,,0.777292576419214
78,train,1230,1284,0.9579439252336449
78,valid,158,229,0.6899563318777293
78,overall,,,0.777292576419214
79,train,1245,1284,0.969626168224299
79,valid,162,229,0.7074235807860262
79,overall,,,0.777292576419214
80,train,1250,1284,0.9735202492211839
80,valid,155,229,0.6768558951965066
80,overall,,,0.777292576419214
81,train,1250,1284,0.9735202492211839
81,valid,156,229,0.6812227074235808
81,overall,,,0.777292576419214
82,train,1247,1284,0.971183800623053
82,valid,163,229,0.7117903930131004
82,overall,,,0.777292576419214
83,train,1254,1284,0.9766355140186916
83,valid,148,229,0.6462882096069869
83,overall,,,0.777292576419214
84,train,1264,1284,0.9844236760124611
84,valid,150,229,0.6550218340611353
84,overall,,,0.777292576419214
85,train,1260,1284,0.9813084112149533
85,valid,154,229,0.6724890829694323
85,overall,,,0.777292576419214
86,train,1251,1284,0.9742990654205608
86,valid,163,229,0.7117903930131004
86,overall,,,0.777292576419214
87,train,1245,1284,0.969626168224299
87,valid,161,229,0.7030567685589519
87,overall,,,0.777292576419214
88,train,1249,1284,0.9727414330218068
88,valid,154,229,0.6724890829694323
88,overall,,,0.777292576419214
89,train,1253,1284,0.9758566978193146
89,valid,157,229,0.6855895196506551
89,overall,,,0.777292576419214
90,train,1246,1284,0.9704049844236761
90,valid,160,229,0.6986899563318777
90,overall,,,0.777292576419214
91,train,1248,1284,0.9719626168224299
91,valid,164,229,0.7161572052401747
91,overall,,,0.777292576419214
92,train,1258,1284,0.9797507788161994
92,valid,149,229,0.6506550218340611
92,overall,,,0.777292576419214
93,train,1252,1284,0.9750778816199377
93,valid,157,229,0.6855895196506551
93,overall,,,0.777292576419214
94,train,1258,1284,0.9797507788161994
94,valid,157,229,0.6855895196506551
94,overall,,,0.777292576419214
95,train,1248,1284,0.9719626168224299
95,valid,153,229,0.6681222707423581
95,overall,,,0.777292576419214
96,train,1267,1284,0.9867601246105919
96,valid,152,229,0.6637554585152838
96,overall,,,0.777292576419214
97,train,1253,1284,0.9758566978193146
97,valid,150,229,0.6550218340611353
97,overall,,,0.777292576419214
98,train,1259,1284,0.9805295950155763
98,valid,151,229,0.6593886462882096
98,overall,,,0.777292576419214
99,train,1260,1284,0.9813084112149533
99,valid,154,229,0.6724890829694323
99,overall,,,0.777292576419214
100,train,1265,1284,0.985202492211838
100,valid,154,229,0.6724890829694323
100,overall,,,0.777292576419214
101,test,0.777292576419214
