Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
self_mm,"(83.3, 0.69)","(83.25, 0.67)","(85.06, 0.9)","(85.07, 0.88)","(52.8, 0.76)","(45.54, 1.19)","(72.26, 0.47)","(79.55, 0.25)","(71.85, 0.59)"
self_mm,"(83.3, 0.69)","(83.25, 0.67)","(85.06, 0.9)","(85.07, 0.88)","(52.8, 0.76)","(45.54, 1.19)","(72.26, 0.47)","(79.55, 0.25)","(71.85, 0.59)"
